"start.station.id","start.station.latitude","start.station.longitude","trips_departed","city","start.station.name"
3718,40.7274642069239,-73.9795041829348,7,"NYC","E 11 St & Avenue B"
3723,40.695317277669,-73.9901572465897,6,"NYC","Cadman Plaza E & Johnson St"
3724,40.7667405590595,-73.9790689945221,10,"NYC","7 Ave & Central Park South"
3736,40.727243,-73.976831,6,"NYC","E 12 St & Ave C"
3746,40.7243083216022,-74.0047303587198,11,"NYC","6 Ave & Broome St"
3749,40.7475739589548,-73.9788007736206,5,"NYC","Lexington Ave & E 36 St"
3775,40.702013,-73.923769,6,"NYC","Suydam St & Knickerbocker Ave"
3783,40.70838,-74.00495,7,"NYC","Cliff St & Fulton St"
3785,40.75492,-73.98455,6,"NYC","W 42 St & 6 Ave"
3799,40.74964,-73.98805,12,"NYC","6 Ave & W 34 St"
380,40.73401143,-74.00293877,10,"NYC","W 4 St & 7 Ave S"
3812,40.734814,-73.992085,8,"NYC","University Pl & E 14 St"
3815,40.755293,-73.967641,7,"NYC","E 51 St & 2 Ave"
385,40.75797322,-73.96603308,8,"NYC","E 55 St & 2 Ave"
387,40.71273266,-74.0046073,9,"NYC","Centre St & Chambers St"
388,40.749717753,-74.002950346,5,"NYC","W 26 St & 10 Ave"
3881,40.818299,-73.960405,15,"NYC","12 Ave & W 125 St"
3898,40.763954,-73.9646,6,"NYC","E 63 St & 3 Ave"
3905,40.732647,-73.99011,6,"NYC","4 Ave & E 12 St"
3918,40.72387,-73.975767,5,"NYC","Avenue D & E 8 St"
393,40.72299208,-73.97995466,5,"NYC","E 5 St & Avenue C"
398,40.69165183,-73.9999786,6,"NYC","Atlantic Ave & Furman St"
399,40.68851534,-73.9647628,5,"NYC","Lafayette Ave & St James Pl"
3992,40.8428422,-73.9421253,6,"NYC","W 169 St & Fort Washington Ave"
401,40.72019576,-73.98997825,7,"NYC","Allen St & Rivington St"
402,40.7403432,-73.98955109,11,"NYC","Broadway & E 22 St"
410,40.72066442,-73.98517977,9,"NYC","Suffolk St & Stanton St"
411,40.72228087,-73.97668709,8,"NYC","E 6 St & Avenue D"
415,40.7047177,-74.00926027,6,"NYC","Pearl St & Hanover Square"
422,40.770513,-73.988038,10,"NYC","W 59 St & 10 Ave"
423,40.76584941,-73.98690506,6,"NYC","W 54 St & 9 Ave"
426,40.71754834,-74.01322069,18,"NYC","West St & Chambers St"
432,40.72621788,-73.98379855,7,"NYC","E 7 St & Avenue A"
435,40.74173969,-73.99415556,13,"NYC","W 21 St & 6 Ave"
438,40.72779126,-73.98564945,10,"NYC","St Marks Pl & 1 Ave"
439,40.7262807,-73.98978041,10,"NYC","E 4 St & 2 Ave"
442,40.746647,-73.993915,7,"NYC","W 27 St & 7 Ave"
445,40.72740794,-73.98142006,11,"NYC","E 10 St & Avenue A"
446,40.74487634,-73.99529885,13,"NYC","W 24 St & 7 Ave"
447,40.76370739,-73.9851615,8,"NYC","8 Ave & W 52 St"
448,40.75660359,-73.9979009,9,"NYC","W 37 St & 10 Ave"
450,40.76227205,-73.98788205,9,"NYC","W 49 St & 8 Ave"
453,40.74475148,-73.99915362,15,"NYC","W 22 St & 8 Ave"
455,40.75001986,-73.96905301,11,"NYC","1 Ave & E 44 St"
456,40.7597108,-73.97402311,6,"NYC","E 53 St & Madison Ave"
458,40.751396,-74.005226,5,"NYC","11 Ave & W 27 St"
459,40.746745,-74.007756,13,"NYC","W 20 St & 11 Ave"
460,40.71285887,-73.96590294,6,"NYC","S 4 St & Wythe Ave"
461,40.73587678,-73.98205027,10,"NYC","E 20 St & 2 Ave"
462,40.74691959,-74.00451887,10,"NYC","W 22 St & 10 Ave"
465,40.75513557,-73.98658032,7,"NYC","Broadway & W 41 St"
466,40.74395411,-73.99144871,9,"NYC","W 25 St & 6 Ave"
468,40.7652654,-73.98192338,14,"NYC","Broadway & W 56 St"
469,40.76344058,-73.98268129,5,"NYC","Broadway & W 53 St"
470,40.74345335,-74.00004031,7,"NYC","W 20 St & 8 Ave"
471,40.71286844,-73.95698119,8,"NYC","Grand St & Havemeyer St"
472,40.7457121,-73.98194829,6,"NYC","E 32 St & Park Ave"
473,40.72110063,-73.9919254,5,"NYC","Rivington St & Chrystie St"
476,40.74394314,-73.97966069,5,"NYC","E 31 St & 3 Ave"
478,40.76030096,-73.99884222,15,"NYC","11 Ave & W 41 St"
479,40.76019252,-73.9912551,13,"NYC","9 Ave & W 45 St"
480,40.76669671,-73.99061728,9,"NYC","W 53 St & 10 Ave"
482,40.73935542,-73.99931783,6,"NYC","W 15 St & 7 Ave"
483,40.73223272,-73.98889957,6,"NYC","E 12 St & 3 Ave"
486,40.7462009,-73.98855723,7,"NYC","Broadway & W 29 St"
489,40.75066386,-74.00176802,5,"NYC","10 Ave & W 28 St"
490,40.751551,-73.993934,9,"NYC","8 Ave & W 33 St"
494,40.74734825,-73.99723551,9,"NYC","W 26 St & 8 Ave"
495,40.76269882,-73.99301222,7,"NYC","W 47 St & 10 Ave"
497,40.73704984,-73.99009296,8,"NYC","E 17 St & Broadway"
499,40.76915505,-73.98191841,18,"NYC","Broadway & W 60 St"
501,40.744219,-73.97121214,11,"NYC","FDR Drive & E 35 St"
502,40.714211,-73.981095,6,"NYC","Henry St & Grand St"
504,40.73221853,-73.98165557,13,"NYC","1 Ave & E 16 St"
505,40.74901271,-73.98848395,8,"NYC","6 Ave & W 33 St"
507,40.73912601,-73.97973776,8,"NYC","E 25 St & 2 Ave"
508,40.76341379,-73.99667444,10,"NYC","W 46 St & 11 Ave"
509,40.7454973,-74.00197139,10,"NYC","9 Ave & W 22 St"
513,40.768254,-73.988639,9,"NYC","W 56 St & 10 Ave"
514,40.76087502,-74.00277668,21,"NYC","12 Ave & W 40 St"
515,40.76009437,-73.99461843,7,"NYC","W 43 St & 10 Ave"
517,40.751581,-73.97791,6,"NYC","Pershing Square South"
518,40.74780373,-73.9734419,14,"NYC","E 39 St & 2 Ave"
519,40.751873,-73.977706,8,"NYC","Pershing Square North"
523,40.75466591,-73.99138152,17,"NYC","W 38 St & 8 Ave"
525,40.75594159,-74.0021163,6,"NYC","W 34 St & 11 Ave"
526,40.74765947,-73.98490707,7,"NYC","E 33 St & 5 Ave"
528,40.74290902,-73.97706058,16,"NYC","2 Ave & E 31 St"
532,40.710451,-73.960876,11,"NYC","S 5 Pl & S 5 St"
536,40.74144387,-73.97536082,5,"NYC","1 Ave & E 30 St"
539,40.71534825,-73.96024116,6,"NYC","Metropolitan Ave & Bedford Ave"
540,40.7431155537649,-73.9821535348892,6,"NYC","Lexington Ave & E 29 St"
545,40.736502,-73.97809472,5,"NYC","E 23 St & 1 Ave"
72,40.76727216,-73.99392888,9,"NYC","W 52 St & 11 Ave"
